state_id,date_,hopital_beds,population
AK,2021-12-17,65,724357
AK,2021-12-18,69,724357
AK,2021-12-19,70,724357
AK,2021-12-20,66,724357
AK,2021-12-21,56,724357
AK,2021-12-22,57,724357
AK,2021-12-23,55,724357
AK,2021-12-24,54,724357
AK,2021-12-25,53,724357
AK,2021-12-26,57,724357
AK,2021-12-27,49,724357
AK,2021-12-28,61,724357
AK,2021-12-29,63,724357
AK,2021-12-30,57,724357
AK,2021-12-31,53,724357
AK,2022-01-01,51,724357
AK,2022-01-02,55,724357
AK,2022-01-03,63,724357
AK,2022-01-04,67,724357
AK,2022-01-05,67,724357
AK,2022-01-06,78,724357
AK,2022-01-07,85,724357
AK,2022-01-08,88,724357
AK,2022-01-09,90,724357
AK,2022-01-10,82,724357
AK,2022-01-11,94,724357
AK,2022-01-12,119,724357
AK,2022-01-13,110,724357
AK,2022-01-14,102,724357
AK,2022-01-15,121,724357
AK,2022-01-16,128,724357
AK,2022-01-17,104,724357
AK,2022-01-18,114,724357
AK,2022-01-19,149,724357
AK,2022-01-20,160,724357
AK,2022-01-21,171,724357
AK,2022-01-22,170,724357
AK,2022-01-23,157,724357
AK,2022-01-24,152,724357
AK,2022-01-25,165,724357
AK,2022-01-26,193,724357
AK,2022-01-27,200,724357
AK,2022-01-28,196,724357
AK,2022-01-29,192,724357
AK,2022-01-30,161,724357
AK,2022-01-31,159,724357
AK,2022-02-01,154,724357
AK,2022-02-02,186,724357
AK,2022-02-03,166,724357
AK,2022-02-04,153,724357
AK,2022-02-05,157,724357
AK,2022-02-06,164,724357
AK,2022-02-07,132,724357
AK,2022-02-08,125,724357
AK,2022-02-09,123,724357
AK,2022-02-10,111,724357
AK,2022-02-11,116,724357
AK,2022-02-12,113,724357
AK,2022-02-13,113,724357
AK,2022-02-14,104,724357
AK,2022-02-15,96,724357
AK,2022-02-16,112,724357
AK,2022-02-17,102,724357
AK,2022-02-18,108,724357
AK,2022-02-19,101,724357
AK,2022-02-20,102,724357
AK,2022-02-21,98,724357
AK,2022-02-22,98,724357
AK,2022-02-23,100,724357
AK,2022-02-24,99,724357
AK,2022-02-25,90,724357
AK,2022-02-26,86,724357
AK,2022-02-27,85,724357
AL,2021-03-01,777,4934193
AL,2021-03-02,719,4934193
AL,2021-03-03,734,4934193
AL,2021-03-04,688,4934193
AL,2021-03-05,659,4934193
AL,2021-03-06,664,4934193
AL,2021-03-07,682,4934193
AL,2021-03-08,615,4934193
AL,2021-03-09,587,4934193
AL,2021-03-10,607,4934193
AL,2021-03-11,592,4934193
AL,2021-03-12,579,4934193
AL,2021-03-13,578,4934193
AL,2021-03-14,575,4934193
AL,2021-03-15,492,4934193
AL,2021-03-16,510,4934193
AL,2021-03-17,540,4934193
AL,2021-03-18,514,4934193
AL,2021-03-19,522,4934193
AL,2021-03-20,531,4934193
AL,2021-03-21,544,4934193
AL,2021-03-22,469,4934193
AL,2021-03-23,487,4934193
AL,2021-03-24,518,4934193
AL,2021-03-25,500,4934193
AL,2021-03-26,469,4934193
AL,2021-03-27,480,4934193
AL,2021-03-28,496,4934193
AL,2021-03-29,438,4934193
AL,2021-03-30,433,4934193
AL,2021-03-31,486,4934193
AL,2021-04-01,456,4934193
AL,2021-04-02,460,4934193
AL,2021-04-03,452,4934193
AL,2021-04-04,459,4934193
AL,2021-04-05,411,4934193
AL,2021-04-06,405,4934193
AL,2021-04-07,417,4934193
AL,2021-04-08,422,4934193
AL,2021-04-09,420,4934193
AL,2021-04-10,449,4934193
AL,2021-04-11,457,4934193
AL,2021-04-12,421,4934193
AL,2021-04-13,405,4934193
AL,2021-04-14,437,4934193
AL,2021-04-15,444,4934193
AL,2021-04-16,420,4934193
AL,2021-04-17,466,4934193
AL,2021-04-18,502,4934193
AL,2021-04-19,447,4934193
AL,2021-04-20,470,4934193
AL,2021-04-21,463,4934193
AL,2021-04-22,459,4934193
AL,2021-04-23,445,4934193
AL,2021-04-24,470,4934193
AL,2021-04-25,483,4934193
AL,2021-04-26,432,4934193
AL,2021-04-27,413,4934193
AL,2021-04-28,407,4934193
AL,2021-04-29,421,4934193
AL,2021-04-30,441,4934193
AL,2021-05-01,443,4934193
AL,2021-05-02,457,4934193
AL,2021-05-03,452,4934193
AL,2021-05-04,429,4934193
AL,2021-05-05,447,4934193
AL,2021-05-06,462,4934193
AL,2021-05-07,484,4934193
AL,2021-05-08,499,4934193
AL,2021-05-09,522,4934193
AL,2021-05-10,455,4934193
AL,2021-05-11,443,4934193
AL,2021-05-12,479,4934193
AL,2021-05-13,456,4934193
AL,2021-05-14,456,4934193
AL,2021-05-15,468,4934193
AL,2021-05-16,486,4934193
AL,2021-05-17,419,4934193
AL,2021-05-18,382,4934193
AL,2021-05-19,420,4934193
AL,2021-05-20,415,4934193
AL,2021-05-21,399,4934193
AL,2021-05-22,389,4934193
AL,2021-05-23,398,4934193
AL,2021-05-24,378,4934193
AL,2021-05-25,350,4934193
AL,2021-05-26,390,4934193
AL,2021-05-27,394,4934193
AL,2021-05-28,380,4934193
AL,2021-05-29,399,4934193
AL,2021-05-30,390,4934193
AL,2021-05-31,387,4934193
AL,2021-06-01,364,4934193
AL,2021-06-02,368,4934193
AL,2021-06-03,367,4934193
AL,2021-06-04,338,4934193
AL,2021-06-05,352,4934193
AL,2021-06-06,348,4934193
AL,2021-06-07,307,4934193
AL,2021-06-08,334,4934193
AL,2021-06-09,304,4934193
AL,2021-06-10,308,4934193
AL,2021-06-11,280,4934193
AL,2021-06-12,291,4934193
AL,2021-06-13,348,4934193
AL,2021-06-14,261,4934193
AL,2021-06-15,249,4934193
AL,2021-06-16,273,4934193
AL,2021-06-17,262,4934193
AL,2021-06-18,321,4934193
AL,2021-06-19,299,4934193
AL,2021-06-20,263,4934193
AL,2021-06-21,233,4934193
AL,2021-06-22,247,4934193
AL,2021-06-23,254,4934193
AL,2021-06-24,249,4934193
AL,2021-06-25,234,4934193
AL,2021-06-26,278,4934193
AL,2021-06-27,272,4934193
AL,2021-06-28,253,4934193
AL,2021-06-29,252,4934193
AL,2021-06-30,284,4934193
AL,2021-07-01,291,4934193
AL,2021-07-02,1670,4934193
AL,2021-07-03,282,4934193
AL,2021-07-04,308,4934193
AL,2021-07-05,298,4934193
AL,2021-07-06,287,4934193
AL,2021-07-07,329,4934193
AL,2021-07-08,339,4934193
AL,2021-07-09,345,4934193
AL,2021-07-10,382,4934193
AL,2021-07-11,353,4934193
AL,2021-07-12,347,4934193
AL,2021-07-13,377,4934193
AL,2021-07-14,428,4934193
AL,2021-07-15,455,4934193
AL,2021-07-16,478,4934193
AL,2021-07-17,539,4934193
AL,2021-07-18,571,4934193
AL,2021-07-19,581,4934193
AL,2021-07-20,634,4934193
AL,2021-07-21,699,4934193
AL,2021-07-22,777,4934193
AL,2021-07-23,819,4934193
AL,2021-07-24,925,4934193
AL,2021-07-25,1031,4934193
AL,2021-07-26,1076,4934193
AL,2021-07-27,1183,4934193
AL,2021-07-28,1273,4934193
AL,2021-07-29,1394,4934193
AL,2021-07-30,1473,4934193
AL,2021-07-31,1562,4934193
AL,2021-08-01,1554,4934193
AL,2021-08-02,1701,4934193
AL,2021-08-03,1813,4934193
AL,2021-08-04,1954,4934193
AL,2021-08-05,1998,4934193
AL,2021-08-06,2092,4934193
AL,2021-08-07,2176,4934193
AL,2021-08-08,2259,4934193
AL,2021-08-09,2328,4934193
AL,2021-08-10,2397,4934193
AL,2021-08-11,2512,4934193
AL,2021-08-12,2596,4934193
AL,2021-08-13,2626,4934193
AL,2021-08-14,2628,4934193
AL,2021-08-15,2721,4934193
AL,2021-08-16,2795,4934193
AL,2021-08-17,2902,4934193
AL,2021-08-18,2914,4934193
AL,2021-08-19,2941,4934193
AL,2021-08-20,2921,4934193
AL,2021-08-21,2884,4934193
AL,2021-08-22,2924,4934193
AL,2021-08-23,2963,4934193
AL,2021-08-24,2914,4934193
AL,2021-08-25,3044,4934193
AL,2021-08-26,2979,4934193
AL,2021-08-27,3094,4934193
AL,2021-08-28,3054,4934193
AL,2021-08-29,3066,4934193
AL,2021-08-30,3116,4934193
AL,2021-08-31,3084,4934193
AL,2021-09-01,3100,4934193
AL,2021-09-02,3072,4934193
AL,2021-09-03,2989,4934193
AL,2021-09-04,2988,4934193
AL,2021-09-05,3004,4934193
AL,2021-09-06,3063,4934193
AL,2021-09-07,3023,4934193
AL,2021-09-08,2875,4934193
AL,2021-09-09,2910,4934193
AL,2021-09-10,2860,4934193
AL,2021-09-11,2796,4934193
AL,2021-09-12,2775,4934193
AL,2021-09-13,2761,4934193
AL,2021-09-14,2636,4934193
AL,2021-09-15,2576,4934193
AL,2021-09-16,2445,4934193
AL,2021-09-17,2381,4934193
AL,2021-09-18,2325,4934193
AL,2021-09-19,2260,4934193
AL,2021-09-20,2168,4934193
AL,2021-09-21,2016,4934193
AL,2021-09-22,1969,4934193
AL,2021-09-23,1949,4934193
AL,2021-09-24,1860,4934193
AL,2021-09-25,1825,4934193
AL,2021-09-26,1819,4934193
AL,2021-09-27,1760,4934193
AL,2021-09-28,1679,4934193
AL,2021-09-29,1601,4934193
AL,2021-09-30,1522,4934193
AL,2021-10-01,1418,4934193
AL,2021-10-02,1380,4934193
AL,2021-10-03,1396,4934193
AL,2021-10-04,1314,4934193
AL,2021-10-05,1291,4934193
AL,2021-10-06,1243,4934193
AL,2021-10-07,1188,4934193
AL,2021-10-08,1114,4934193
AL,2021-10-09,1131,4934193
AL,2021-10-10,1157,4934193
AL,2021-10-11,1121,4934193
AL,2021-10-12,1043,4934193
AL,2021-10-13,991,4934193
AL,2021-10-14,957,4934193
AL,2021-10-15,911,4934193
AL,2021-10-16,885,4934193
AL,2021-10-17,897,4934193
AL,2021-10-18,875,4934193
AL,2021-10-19,805,4934193
AL,2021-10-20,785,4934193
AL,2021-10-21,742,4934193
AL,2021-10-22,714,4934193
AL,2021-10-23,698,4934193
AL,2021-10-24,725,4934193
AL,2021-10-25,692,4934193
AL,2021-10-26,672,4934193
AL,2021-10-27,663,4934193
AL,2021-10-28,654,4934193
AL,2021-10-29,610,4934193
AL,2021-10-30,620,4934193
AL,2021-10-31,626,4934193
AL,2021-11-01,639,4934193
AL,2021-11-02,565,4934193
AL,2021-11-03,550,4934193
AL,2021-11-04,513,4934193
AL,2021-11-05,518,4934193
AL,2021-11-06,523,4934193
AL,2021-11-07,504,4934193
AL,2021-11-08,501,4934193
AL,2021-11-09,464,4934193
AL,2021-11-10,453,4934193
AL,2021-11-11,412,4934193
AL,2021-11-12,388,4934193
AL,2021-11-13,413,4934193
AL,2021-11-14,429,4934193
AL,2021-11-15,425,4934193
AL,2021-11-16,387,4934193
AL,2021-11-17,419,4934193
AL,2021-11-18,415,4934193
AL,2021-11-19,431,4934193
AL,2021-11-20,430,4934193
AL,2021-11-21,466,4934193
AL,2021-11-22,454,4934193
