state_id,date_,new_deaths,population
AL,2021-05-13,4,4934193
AL,2021-05-14,23,4934193
AL,2021-05-15,14,4934193
AL,2021-05-16,0,4934193
AL,2021-05-17,0,4934193
AL,2021-05-18,5,4934193
AL,2021-05-19,2,4934193
AL,2021-05-20,32,4934193
AL,2021-05-21,3,4934193
AL,2021-05-22,32,4934193
AL,2021-05-23,0,4934193
AL,2021-05-24,0,4934193
AL,2021-05-25,12,4934193
AL,2021-05-26,14,4934193
AL,2021-05-27,2,4934193
AL,2021-05-28,6,4934193
AL,2021-05-29,0,4934193
AL,2021-05-30,0,4934193
AL,2021-05-31,0,4934193
AL,2021-06-01,10,4934193
AL,2021-06-02,11,4934193
AL,2021-06-03,21,4934193
AL,2021-06-04,10,4934193
AL,2021-06-05,0,4934193
AL,2021-06-06,0,4934193
AL,2021-06-07,19,4934193
AL,2021-06-08,3,4934193
AL,2021-06-09,29,4934193
AL,2021-06-10,3,4934193
AL,2021-06-11,14,4934193
AL,2021-06-12,0,4934193
AL,2021-06-13,0,4934193
AL,2021-06-14,8,4934193
AL,2021-06-15,7,4934193
AL,2021-06-16,7,4934193
AL,2021-06-17,0,4934193
AL,2021-06-18,18,4934193
AL,2021-06-19,0,4934193
AL,2021-06-20,0,4934193
AL,2021-06-21,5,4934193
AL,2021-06-22,0,4934193
AL,2021-06-23,17,4934193
AL,2021-06-24,0,4934193
AL,2021-06-25,8,4934193
AL,2021-06-26,0,4934193
AL,2021-06-27,0,4934193
AL,2021-06-28,2,4934193
AL,2021-06-29,0,4934193
AL,2021-06-30,14,4934193
AL,2021-07-01,0,4934193
AL,2021-07-02,6,4934193
AL,2021-07-03,0,4934193
AL,2021-07-04,0,4934193
AL,2021-07-05,0,4934193
AL,2021-07-06,0,4934193
AL,2021-07-07,29,4934193
AL,2021-07-08,0,4934193
AL,2021-07-09,11,4934193
AL,2021-07-10,4,4934193
AL,2021-07-11,0,4934193
AL,2021-07-12,0,4934193
AL,2021-07-13,0,4934193
AL,2021-07-14,26,4934193
AL,2021-07-15,11,4934193
AL,2021-07-16,3,4934193
AL,2021-07-17,1,4934193
AL,2021-07-18,0,4934193
AL,2021-07-19,0,4934193
AL,2021-07-20,17,4934193
AL,2021-07-21,2,4934193
AL,2021-07-22,6,4934193
AL,2021-07-23,4,4934193
AL,2021-07-24,11,4934193
AL,2021-07-25,0,4934193
AL,2021-07-26,0,4934193
AL,2021-07-27,9,4934193
AL,2021-07-28,18,4934193
AL,2021-07-29,6,4934193
AL,2021-07-30,0,4934193
AL,2021-07-31,20,4934193
AL,2021-08-01,0,4934193
AL,2021-08-02,0,4934193
AL,2021-08-03,6,4934193
AL,2021-08-04,19,4934193
AL,2021-08-05,13,4934193
AL,2021-08-06,26,4934193
AL,2021-08-07,24,4934193
AL,2021-08-08,0,4934193
AL,2021-08-09,1,4934193
AL,2021-08-10,23,4934193
AL,2021-08-11,41,4934193
AL,2021-08-12,35,4934193
AL,2021-08-13,41,4934193
AL,2021-08-14,0,4934193
AL,2021-08-15,33,4934193
AL,2021-08-16,1,4934193
AL,2021-08-17,33,4934193
AL,2021-08-18,40,4934193
AL,2021-08-19,42,4934193
AL,2021-08-20,28,4934193
AL,2021-08-21,58,4934193
AL,2021-08-22,0,4934193
AL,2021-08-23,0,4934193
AL,2021-08-24,0,4934193
AL,2021-08-25,0,4934193
AL,2021-08-26,103,4934193
AL,2021-08-27,50,4934193
AL,2021-08-28,66,4934193
AL,2021-08-29,3,4934193
AL,2021-08-30,0,4934193
AL,2021-08-31,61,4934193
AL,2021-09-01,8,4934193
AL,2021-09-02,39,4934193
AL,2021-09-03,64,4934193
AL,2021-09-04,20,4934193
AL,2021-09-05,1,4934193
AL,2021-09-06,1,4934193
AL,2021-09-07,4,4934193
AL,2021-09-08,68,4934193
AL,2021-09-09,64,4934193
AL,2021-09-10,53,4934193
AL,2021-09-11,68,4934193
AL,2021-09-12,3,4934193
AL,2021-09-13,2,4934193
AL,2021-09-14,40,4934193
AL,2021-09-15,66,4934193
AL,2021-09-16,72,4934193
AL,2021-09-17,192,4934193
AL,2021-09-18,161,4934193
AL,2021-09-19,1,4934193
AL,2021-09-20,0,4934193
AL,2021-09-21,250,4934193
AL,2021-09-22,205,4934193
AL,2021-09-23,133,4934193
AL,2021-09-24,123,4934193
AL,2021-09-25,101,4934193
AL,2021-09-26,0,4934193
AL,2021-09-27,3,4934193
AL,2021-09-28,130,4934193
AL,2021-09-29,45,4934193
AL,2021-09-30,99,4934193
AL,2021-10-01,94,4934193
AL,2021-10-02,76,4934193
AL,2021-10-03,1,4934193
AL,2021-10-04,1,4934193
AL,2021-10-05,71,4934193
AL,2021-10-06,70,4934193
AL,2021-10-07,63,4934193
AL,2021-10-08,81,4934193
AL,2021-10-09,101,4934193
AL,2021-10-10,1,4934193
AL,2021-10-11,1,4934193
AL,2021-10-12,10,4934193
AL,2021-10-13,111,4934193
AL,2021-10-14,121,4934193
AL,2021-10-15,41,4934193
AL,2021-10-16,37,4934193
AL,2021-10-17,0,4934193
AL,2021-10-18,0,4934193
AL,2021-10-19,84,4934193
AL,2021-10-20,48,4934193
AL,2021-10-21,9,4934193
AL,2021-10-22,58,4934193
AL,2021-10-23,28,4934193
AL,2021-10-24,1,4934193
AL,2021-10-25,0,4934193
AL,2021-10-26,17,4934193
AL,2021-10-27,8,4934193
AL,2021-10-28,52,4934193
AL,2021-10-29,48,4934193
AL,2021-10-30,41,4934193
AL,2021-10-31,0,4934193
AL,2021-11-01,0,4934193
AL,2021-11-02,56,4934193
AL,2021-11-03,47,4934193
AL,2021-11-04,58,4934193
AL,2021-11-05,52,4934193
AL,2021-11-06,48,4934193
AL,2021-11-07,0,4934193
AL,2021-11-08,0,4934193
AL,2021-11-09,45,4934193
AL,2021-11-10,38,4934193
AL,2021-11-11,17,4934193
AL,2021-11-12,0,4934193
AL,2021-11-13,47,4934193
AL,2021-11-14,0,4934193
AL,2021-11-15,0,4934193
AL,2021-11-16,18,4934193
AL,2021-11-17,26,4934193
AL,2021-11-18,18,4934193
AL,2021-11-19,20,4934193
AL,2021-11-20,10,4934193
AL,2021-11-21,0,4934193
AL,2021-11-22,0,4934193
AL,2021-11-23,13,4934193
AL,2021-11-24,16,4934193
AL,2021-11-25,13,4934193
AL,2021-11-26,0,4934193
AL,2021-11-27,0,4934193
AL,2021-11-28,0,4934193
AL,2021-11-29,1,4934193
AL,2021-11-30,3,4934193
AL,2021-12-01,24,4934193
AL,2021-12-02,14,4934193
AL,2021-12-03,15,4934193
AL,2021-12-04,13,4934193
AL,2021-12-05,0,4934193
AL,2021-12-06,0,4934193
AL,2021-12-07,14,4934193
AL,2021-12-08,4,4934193
AL,2021-12-09,0,4934193
AL,2021-12-10,40,4934193
AL,2021-12-11,22,4934193
AL,2021-12-12,0,4934193
AL,2021-12-13,0,4934193
