state_id,date_,new_cases,population
AK,2021-12-11,0,724357
AK,2021-12-12,0,724357
AK,2021-12-13,404,724357
AK,2021-12-14,0,724357
AK,2021-12-15,396,724357
AK,2021-12-16,0,724357
AK,2021-12-17,407,724357
AK,2021-12-18,0,724357
AK,2021-12-19,0,724357
AK,2021-12-20,418,724357
AK,2021-12-21,0,724357
AK,2021-12-22,222,724357
AK,2021-12-23,0,724357
AK,2021-12-24,0,724357
AK,2021-12-25,0,724357
AK,2021-12-26,0,724357
AK,2021-12-27,876,724357
AK,2021-12-28,0,724357
AK,2021-12-29,985,724357
AK,2021-12-30,0,724357
AK,2021-12-31,0,724357
AK,2022-01-01,0,724357
AK,2022-01-02,0,724357
AK,2022-01-03,2889,724357
AK,2022-01-04,0,724357
AK,2022-01-05,0,724357
AK,2022-01-06,1037,724357
AK,2022-01-07,0,724357
AK,2022-01-08,0,724357
AK,2022-01-09,0,724357
AK,2022-01-10,3254,724357
AK,2022-01-11,0,724357
AK,2022-01-12,4509,724357
AK,2022-01-13,0,724357
AK,2022-01-14,5456,724357
AK,2022-01-15,0,724357
AK,2022-01-16,0,724357
AK,2022-01-17,0,724357
AK,2022-01-18,0,724357
AK,2022-01-19,10181,724357
AK,2022-01-20,0,724357
AK,2022-01-21,6478,724357
AK,2022-01-22,0,724357
AK,2022-01-23,0,724357
AK,2022-01-24,5632,724357
AK,2022-01-25,0,724357
AK,2022-01-26,5474,724357
AK,2022-01-27,0,724357
AK,2022-01-28,5878,724357
AK,2022-01-29,0,724357
AK,2022-01-30,0,724357
AK,2022-01-31,4526,724357
AK,2022-02-01,0,724357
AK,2022-02-02,4124,724357
AK,2022-02-03,0,724357
AK,2022-02-04,3806,724357
AK,2022-02-05,0,724357
AK,2022-02-06,0,724357
AK,2022-02-07,3043,724357
AK,2022-02-08,0,724357
AK,2022-02-09,2236,724357
AK,2022-02-10,0,724357
AK,2022-02-11,1861,724357
AK,2022-02-12,0,724357
AK,2022-02-13,0,724357
AK,2022-02-14,1027,724357
AK,2022-02-15,0,724357
AK,2022-02-16,1665,724357
AK,2022-02-17,0,724357
AK,2022-02-18,1136,724357
AK,2022-02-19,0,724357
AK,2022-02-20,0,724357
AK,2022-02-21,0,724357
AK,2022-02-22,0,724357
AK,2022-02-23,1795,724357
AK,2022-02-24,0,724357
AK,2022-02-25,919,724357
AK,2022-02-26,0,724357
AK,2022-02-27,0,724357
AL,2021-03-01,517,4934193
AL,2021-03-02,652,4934193
AL,2021-03-03,0,4934193
AL,2021-03-04,922,4934193
AL,2021-03-05,811,4934193
AL,2021-03-06,524,4934193
AL,2021-03-07,408,4934193
AL,2021-03-08,273,4934193
AL,2021-03-09,524,4934193
AL,2021-03-10,782,4934193
AL,2021-03-11,865,4934193
AL,2021-03-12,448,4934193
AL,2021-03-13,594,4934193
AL,2021-03-14,368,4934193
AL,2021-03-15,0,4934193
AL,2021-03-16,488,4934193
AL,2021-03-17,759,4934193
AL,2021-03-18,572,4934193
AL,2021-03-19,531,4934193
AL,2021-03-20,508,4934193
AL,2021-03-21,373,4934193
AL,2021-03-22,319,4934193
AL,2021-03-23,10,4934193
AL,2021-03-24,922,4934193
AL,2021-03-25,427,4934193
AL,2021-03-26,442,4934193
AL,2021-03-27,492,4934193
AL,2021-03-28,319,4934193
AL,2021-03-29,228,4934193
AL,2021-03-30,361,4934193
AL,2021-03-31,408,4934193
AL,2021-04-01,478,4934193
AL,2021-04-02,400,4934193
AL,2021-04-03,349,4934193
AL,2021-04-04,194,4934193
AL,2021-04-05,109,4934193
AL,2021-04-06,196,4934193
AL,2021-04-07,338,4934193
AL,2021-04-08,464,4934193
AL,2021-04-09,318,4934193
AL,2021-04-10,354,4934193
AL,2021-04-11,311,4934193
AL,2021-04-12,172,4934193
AL,2021-04-13,0,4934193
AL,2021-04-14,277,4934193
AL,2021-04-15,421,4934193
AL,2021-04-16,422,4934193
AL,2021-04-17,508,4934193
AL,2021-04-18,270,4934193
AL,2021-04-19,111,4934193
AL,2021-04-20,0,4934193
AL,2021-04-21,412,4934193
AL,2021-04-22,682,4934193
AL,2021-04-23,428,4934193
AL,2021-04-24,421,4934193
AL,2021-04-25,233,4934193
AL,2021-04-26,217,4934193
AL,2021-04-27,359,4934193
AL,2021-04-28,376,4934193
AL,2021-04-29,430,4934193
AL,2021-04-30,409,4934193
AL,2021-05-01,387,4934193
AL,2021-05-02,288,4934193
AL,2021-05-03,187,4934193
AL,2021-05-04,0,4934193
AL,2021-05-05,662,4934193
AL,2021-05-06,565,4934193
AL,2021-05-07,314,4934193
AL,2021-05-08,419,4934193
AL,2021-05-09,244,4934193
AL,2021-05-10,106,4934193
AL,2021-05-11,310,4934193
AL,2021-05-12,347,4934193
