States,Date,Req,vaccinated_pct,monthly_new_cases_per_100k, infection_rate,hospital_beds_per_100k,new_deaths_per_100K
WI,2022-Feb-01,0,64,923.5214413,0.67,28.89368457,15.07050845
WV,2021-Mar-01,0,0,559.0377966,1.1,16.34745757,9.446454723
WV,2021-Apr-01,0,19,644.2821515,1.02,18.49695027,9.163626737
WV,2021-May-01,0,31,461.5187071,0.97,17.13937593,6.391912477
WV,2021-Jun-01,0,34,155.7816545,0.93,12.44443137,3.56363262
WV,2021-Jul-01,0,37,168.2826515,1.35,10.80402905,3.16767344
WV,2021-Aug-01,0,39,1282.56835,1.33,39.93531158,7.806052406
WV,2021-Sep-01,0,40,2871.778801,1.17,62.78781283,33.14743993
WV,2021-Oct-01,0,40,1814.228397,0.94,60.52518894,42.76359144
WV,2021-Nov-01,0,41,1259.263324,1.1,36.20198217,25.00199394
WV,2021-Dec-01,0,0,1887.480845,1.35,39.14339322,26.47269946
WV,2022-Jan-01,0,55,6709.188912,1.35,72.40396434,24.15350998
WV,2022-Feb-01,0,56,2352.450054,0.8,73.64840748,30.82825044
WY,2021-Mar-01,0,0,329.7336833,1.01,6.195413673,4.990749903
WY,2021-Apr-01,0,19,315.277718,1.03,5.334939552,1.20466377
WY,2021-May-01,0,28,344.5338381,1.04,9.637310158,2.065137891
WY,2021-Jun-01,0,32,369.3154928,1.05,9.981499806,4.818655079
WY,2021-Jul-01,0,35,488.2330164,1.23,13.25130147,4.990749903
WY,2021-Aug-01,0,37,1722.497096,1.24,35.79572344,14.11177559
WY,2021-Sep-01,0,39,2661.618552,1.08,41.30275782,23.74908575
WY,2021-Oct-01,0,42,2120.896614,0.98,43.71208536,30.63287872
WY,2021-Nov-01,0,44,1404.81005,0.92,33.73058555,43.71208536
WY,2021-Dec-01,0,46,782.8593555,1.49,20.30718926,16.86529278
WY,2022-Jan-01,0,48,5312.05094,1.5,31.49335284,17.0373876
WY,2022-Feb-01,0,50,1446.284903,0.73,29.60030977,16.00481866
