state_id,date,new_cases,vaccinated_ratio,hospital_beds,new_deaths,infection_rate,population,requirements
AK,2021-07-30,570,0.455,113,3,1.17,724357,f
AK,2021-07-31,0,0.455,107,0,1.16,724357,f
AK,2021-08-01,0,0.455,107,0,1.15,724357,f
AK,2021-08-02,746,0.455,101,0,1.15,724357,f
AK,2021-08-03,293,0.456,105,2,1.14,724357,f
AK,2021-08-04,338,0.457,107,2,1.14,724357,f
AK,2021-08-05,377,0.458,105,5,1.13,724357,f
AK,2021-08-06,332,0.458,101,0,1.13,724357,f
AK,2021-08-07,0,0.459,106,0,1.13,724357,f
AK,2021-08-08,0,0.459,105,0,1.13,724357,f
AK,2021-08-09,847,0.459,122,1,1.13,724357,f
AK,2021-08-10,254,0.459,127,1,1.13,724357,f
AK,2021-08-11,375,0.46,129,0,1.14,724357,f
AK,2021-08-12,402,0.46,121,3,1.14,724357,f
AK,2021-08-13,334,0.461,115,0,1.14,724357,f
AK,2021-08-14,0,0.462,116,0,1.14,724357,f
AK,2021-08-15,0,0.462,130,0,1.14,724357,f
AK,2021-08-16,1056,0.463,130,0,1.14,724357,f
AK,2021-08-17,449,0.463,125,5,1.14,724357,f
AK,2021-08-18,661,0.464,124,4,1.14,724357,f
AK,2021-08-19,683,0.465,125,0,1.13,724357,f
AK,2021-08-20,469,0.465,140,2,1.13,724357,f
AK,2021-08-21,0,0.466,137,0,1.12,724357,f
AK,2021-08-22,0,0.466,131,0,1.12,724357,f
AK,2021-08-23,1112,0.466,130,0,1.11,724357,f
AK,2021-08-24,593,0.468,131,13,1.1,724357,f
AK,2021-08-25,620,0.468,128,11,1.1,724357,f
AK,2021-08-26,727,0.469,156,0,1.09,724357,f
AK,2021-08-27,534,0.47,155,0,1.09,724357,f
AK,2021-08-28,0,0.471,154,0,1.08,724357,f
AK,2021-08-29,0,0.471,154,0,1.08,724357,f
AK,2021-08-30,1148,0.472,158,0,1.08,724357,f
AK,2021-08-31,639,0.472,175,6,1.08,724357,f
AK,2021-09-01,791,0.473,181,4,1.08,724357,f
AK,2021-09-02,712,0.474,176,0,1.08,724357,f
AK,2021-09-03,582,0.474,176,0,1.09,724357,f
AK,2021-09-04,0,0.475,179,0,1.09,724357,f
AK,2021-09-05,0,0.476,184,0,1.1,724357,f
AK,2021-09-06,0,0.476,189,0,1.1,724357,f
AK,2021-09-07,2127,0.48,202,2,1.11,724357,f
AK,2021-09-08,837,0.48,216,6,1.11,724357,f
AK,2021-09-09,838,0.481,211,0,1.12,724357,f
AK,2021-09-10,693,0.482,207,2,1.13,724357,f
AK,2021-09-11,0,0.483,216,0,1.13,724357,f
AK,2021-09-12,0,0.483,207,0,1.14,724357,f
AK,2021-09-13,1456,0.484,202,1,1.14,724357,f
AK,2021-09-14,689,0.485,208,7,1.15,724357,f
AK,2021-09-15,1089,0.485,216,2,1.15,724357,f
AK,2021-09-16,1052,0.486,222,0,1.15,724357,f
AK,2021-09-17,882,0.488,222,1,1.16,724357,f
AK,2021-09-18,0,0.489,213,0,1.15,724357,f
AK,2021-09-19,0,0.491,218,0,1.15,724357,f
AK,2021-09-20,2108,0.492,198,5,1.14,724357,f
AK,2021-09-21,853,0.493,216,6,1.13,724357,f
AK,2021-09-22,1244,0.495,215,1,1.12,724357,f
AK,2021-09-23,1315,0.497,227,7,1.11,724357,f
AK,2021-09-24,1778,0.497,223,0,1.09,724357,f
AK,2021-09-25,0,0.498,231,0,1.08,724357,f
AK,2021-09-26,0,0.498,212,0,1.06,724357,f
AK,2021-09-27,3999,0.504,212,20,1.04,724357,f
AK,2021-09-28,685,0.504,217,10,1.02,724357,f
AK,2021-09-29,996,0.505,215,4,1,724357,f
AK,2021-09-30,1267,0.506,207,10,0.98,724357,f
AK,2021-10-01,1032,0.507,228,1,0.97,724357,f
AK,2021-10-02,0,0.508,229,0,0.95,724357,f
AK,2021-10-03,0,0.508,228,0,0.94,724357,f
AK,2021-10-04,2232,0.509,196,1,0.93,724357,f
AK,2021-10-05,854,0.509,186,3,0.93,724357,f
AK,2021-10-06,856,0.51,200,3,0.92,724357,f
AK,2021-10-07,853,0.51,199,5,0.92,724357,f
AK,2021-10-08,834,0.511,198,2,0.92,724357,f
AK,2021-10-09,0,0.512,189,0,0.93,724357,f
AK,2021-10-10,0,0.512,201,0,0.93,724357,f
AK,2021-10-11,2770,0.513,191,4,0.93,724357,f
AK,2021-10-12,450,0.513,201,16,0.94,724357,f
AK,2021-10-13,1226,0.513,225,0,0.94,724357,f
AK,2021-10-14,967,0.514,216,2,0.94,724357,f
AK,2021-10-15,984,0.515,221,3,0.94,724357,f
AK,2021-10-16,0,0.516,222,0,0.94,724357,f
AK,2021-10-17,0,0.517,221,0,0.94,724357,f
AK,2021-10-18,0,0.517,213,0,0.94,724357,f
AK,2021-10-19,2820,0.52,206,66,0.94,724357,f
AK,2021-10-20,814,0.52,240,8,0.94,724357,f
AK,2021-10-21,1020,0.521,231,1,0.93,724357,f
AK,2021-10-22,846,0.522,234,6,0.93,724357,f
AK,2021-10-23,0,0.522,236,0,0.92,724357,f
AK,2021-10-24,0,0.523,245,0,0.92,724357,f
AK,2021-10-25,1666,0.524,234,5,0.91,724357,f
AK,2021-10-26,743,0.524,235,11,0.91,724357,f
AK,2021-10-27,560,0.524,237,2,0.9,724357,f
AK,2021-10-28,809,0.525,234,5,0.9,724357,f
AK,2021-10-29,804,0.526,218,4,0.89,724357,f
AK,2021-10-30,0,0.526,199,0,0.89,724357,f
AK,2021-10-31,0,0.526,203,0,0.88,724357,f
AK,2021-11-01,1528,0.527,194,3,0.88,724357,f
AK,2021-11-02,493,0.528,184,6,0.88,724357,f
AK,2021-11-03,672,0.528,174,3,0.87,724357,f
AK,2021-11-04,651,0.528,164,3,0.87,724357,f
AK,2021-11-05,863,0.529,155,1,0.87,724357,f
AK,2021-11-06,0,0.53,146,0,0.87,724357,f
AK,2021-11-07,0,0.53,144,0,0.86,724357,f
AK,2021-11-08,1339,0.531,133,51,0.86,724357,f
AK,2021-11-09,372,0.531,141,28,0.86,724357,f
AK,2021-11-10,452,0.531,151,9,0.86,724357,f
AK,2021-11-11,0,0.532,135,0,0.86,724357,f
AK,2021-11-12,867,0.532,154,0,0.86,724357,f
AK,2021-11-13,0,0.533,150,0,0.86,724357,f
AK,2021-11-14,0,0.535,156,0,0.86,724357,f
AK,2021-11-15,1080,0.535,145,2,0.86,724357,f
AK,2021-11-16,349,0.535,146,7,0.86,724357,f
AK,2021-11-17,439,0.537,142,2,0.86,724357,f
AK,2021-11-18,520,0.538,138,0,0.86,724357,f
AK,2021-11-19,520,0.538,126,16,0.86,724357,f
AK,2021-11-20,0,0.539,111,0,0.85,724357,f
